tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0
0.0,0.01018577,-0.0881446,0.004515168,0,0,0,0,0,0,0,-1.064046e-07,-4.241014e-07,1.711485e-06,0,0,0,-0.0001734932250183088
0.001,0.01018577,-0.0881446,0.004515168,0,0,0,0,0,0,0,-3.3857840000000004e-10,-1.349486e-09,5.445926e-09,0,0,0,-0.00017359542011253484
0.002,0.01018577,-0.0881446,0.004515168,0,0,0,0,0,0,0,-2.0409670000000002e-12,-8.134767e-12,3.28283e-11,0,0,0,-0.00017414374230365453
0.003,0.01018577,-0.0881446,0.004515168,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00017414374230365453
0.004,0.01018577,-0.0881446,0.004515168,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00017414374230365453
0.005,0.01018577,-0.0881446,0.004515168,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00017414374230365453
0.006,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,-0.000111476,-0.000443538,0.001793057,0,0,0,-0.00018731816683597782
0.007,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,-9.249051e-07,-3.679988e-06,1.4876800000000001e-05,0,0,0,-0.00018747220192879077
0.008,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,-7.673841e-09,-3.053248e-08,1.2343130000000002e-07,0,0,0,-0.00018739079979703454
0.009000000000000001,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,-6.366904999999999e-11,-2.533247e-10,1.024096e-09,0,0,0,-0.00018760517165743065
0.01,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,-5.282554e-13,-2.101809e-12,8.496821000000002e-12,0,0,0,-0.0001881227192141365
0.011,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.012,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.013000000000000001,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.014,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.015,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.016,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.017,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.018000000000000002,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.019,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.02,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.021,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
0.022,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0001881227192141365
